name,credits,de,en

TeamfotoBerlin2024.jpg, (c) FSL digital,Das Foto zeigt das Projektteam.,The photo shows the project team.
TeamtreffenHamburg2025.jpg,(c) FSL digital,Das Foto zeigt das Projektteam.,The photo shows the project team.
Anonym1614Heidelberg.png,cc PDM 1.0 https://doi.org/10.11588/diglit.33210#0003, Colloqvia Et Dictionariolvm Sex Lingvarvm Heidelberg 1614,Colloqvia Et Dictionariolvm Sex Lingvarvm Heidelberg 1614
