"Entry type","Autor einheitl.","Vollständiger Titel","Druckjahr","Verlagsort","Link zum Digitalisat"
"OLD","Canel, Pierre","DIALOGUES François & Alemans, Où l’on represente le veritable Usage de la Langue Françoise sous le difrentes figures du discours, avec Un Recueil de plusieurs Contes fort divertissans, & un Formulaire de letres sur toutes sortes de matiere. Frantzösische und Teutsche Gespräch/ Darinnen die rechte Usage der Frantzösischen Sprache nach unterschiedenen Figuren der Rede vorgestellet wird. nebenst Einen Begriff vieler anmuthigen Historien/ und einem Formular von Briefen über allerhand Materien","1696","Nürnberg","https://nbn-resolving.org/urn:nbn:de:urmel-a5a71b4c-f8e9-4196-8807-a5f5ffbff90f5"
"OLD","Canel, Pierre","GRAMMAIRE ROYALE FRANCOISE Revûë pour la quatriéme fois augmentée de plusieurs beles Remarques, & beaucoup plus metodique que les precedentes. avec Quatre DIALOGUES Nouveaus, où l’on a joint plusieurs petits contes fort divertissans, un formulaire de Letres sur toutes sortes de matieres, & l’histoire veritable de Lucien nouvelement augmentèe. Où SE TROUVE LE GRAMMAIRIEN en bele humeur, où l’Abregè universel de la Langue Françoise en vers burlesques avec la version Alemande. contenant Un Colege de 70. Exercices, ou Leçons selon l’ordre te [sic] toutes les conjugaisons tant Regulieres, qu’irregulieres, & generalement tout ce qui concerne le Genie, & l’usage de ces deus Langues, Par P. Canel, Informateur des Pages de la Cour, & Prof. P: dans l’Academie Royale de Copenhague","1697","Nürnberg","https://nbn-resolving.org/urn:nbn:de:urmel-a5a71b4c-f8e9-4196-8807-a5f5ffbff90f5"
"OLD","Canel, Pierre","Der Königliche Teutsch=Frantzösische GRAMMATICUS THEORETICO-PRACTICUS","1701","Hamburg","https://books.google.de/books?id=iMxFAAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false"
"OLD","Canel, Pierre","Introduction à la langue françoise. Kurtze Anleitung der frantzösischen Sprach
","1703","Nürnberg",""
"OLD","Canel, Pierre","Der Königliche Frantzösisch-Teutsche Grammaticus : Zur Ubung Ihrer Königlichen Hoheit Printz Christians Cron-Printz von Dennemarck und Norwegen","1713","Hamburg",""
"NEW","Chirchmair, Matthias","Grammatica della lingua todesca","1688","Florenz","https://books.google.de/books?id=Aqt3vLCY4hcC&hl=de&pg=PP11#v=onepage&q&f=false"
"OLD","Chirchmair, Matthias","Grammatica della lingua Todesca","1702","Bologna","https://archive.org/details/bub_gb_3tcVxLpcxWkC"
"OLD","Chirchmair, Matthias","Grammatica della lingua Todesca","1703","Venedig","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10583943-7"
"OLD","Chirchmair, Matthias","Grammatica della lingua tedesca… In questa seconda edizione aumentata, oltre l’aggiunzioni d’un vocabulario de nomi più necessari… con diversi dialoghi
","1706","",""
"OLD","Chirchmair, Matthias","Grammatica della lingua Todesca","1706","Trient","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10583944-3"
"OLD","Chirchmair, Matthias","Dialoghi tedeschi et italiani","1707","Florenz/Mailand",""
"OLD","Chirchmair, Matthias","Vocabulario italiano, e tedesco, scritto secondo la lezione italiana","1707","Wien","https://books.google.de/books?id=oXOKhNsM6xkC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"
"OLD","Chirchmair, Matthias","Grammatica della lingua todesca ed italiana","1709","Trient",""
"OLD","Chirchmair, Matthias","Teutsche Grammatic dess Mathiae Chirchmairs. Grammatica della lingua todesca","1714","Florenz",""
"OLD","Chirchmair, Matthias","Gramatick oder unterricht der Teutsch und Welschen Sprach.","1722","Trient","https://www.google.de/books/edition/Gramatick_oder_unterricht_der_Teutsch_un/xLSSXHAPMGwC?hl=de&gbpv=0"
"OLD","Chirchmair, Matthias","Grammatica della lingua tedesca","1724","Neapel",""
"OLD","Chirchmair, Matthias","Grammatica della Lingua Todesca","1735","Venedig","https://www.google.de/books/edition/GRAMMATICA_DELLA_LINGUA_TODESCA/4xTfMjPFpoYC?hl=de&sa=X&ved=2ahUKEwivxNb1ibD7AhUkRvEDHWM_C-MQiqUDegQIEBAC"
"OLD","Chirchmair, Matthias","Grammatica della lingua todesca","1747","Venedig","https://www.digitale-sammlungen.de/de/view/bsb10583945?q=Chirchmair&page=6,7"
"OLD","Chirchmair, Matthias","Grammatica della lingua todesce [4. Ed.] nuov. corr. Accresciuta
","1747","Venedig",""
"OLD","Chirchmair, Matthias","Grammatica della lingua tedesca ed italiana","1748","Trient",""
"OLD","Chirchmair, Matthias","Gramatica Della Lingua Todesca, Ed Italiana Gramatick Oder Unterricht Der Teütsch- Und Welschen Sprach","1750","Trient",""
"OLD","Chirchmair, Matthias","Grammatica della Lingua Todesca","1753","Venedig","https://www.google.de/books/edition/_/2j-i15rg5Q0C?hl=de&gbpv=0"
"OLD","Chirchmair, Matthias","Gramatica della lingua tedesca, ed italiana","1754","Trient",""
"OLD","Chirchmair, Matthias","Gramatica della lingua Tedesca","1762","Venedig",""
