"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5UUAMWKH","book","2020","Tosi, Arturo","Language and the Grand Tour: Linguistic Experiences of Travelling in Early Modern Europe","","978-1-108-76636-4 978-1-108-48727-6 978-1-108-72000-7","","10.1017/9781108766364","https://www.cambridge.org/core/product/identifier/9781108766364/type/book","","2020-03-31","2026-06-16 07:42:44","2026-06-16T07:42:44Z","2024-06-10 08:58:25","","","","","","","Language and the Grand Tour","","","","","Cambridge University Press","Cambridge","","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","Reisen","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCJMSDTC","bookSection","2018","Bouzouita, Miriam; Vogl, Ulrike","Hola, het Vlaams was een wereldtaal in de 16e eeuw! Colloquia, et dictionariolum vanuit een Vlaams en Spaans perspectief","Woorden om te bewaren: Huldeboek voor Jacques Van Keymeulen","978-94-92944-22-1","","","","","2018","2026-06-16 07:35:09","2026-06-16T07:35:09Z","","467-483","","","","","","","","","","","Skribis","Gent","eng","","","","","Open WorldCat","","OCLC: 1056195455","","","","","","Colleman, Timothy; Caluwe, J. de; Tier, Veronique de; Ghyselen, Anne-Sophie; Triest, Liesbet; Vandenberghe, Roxane; Vogl, Ulrike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89MGB2S9","bookSection","2021","Vezin, Benoît","Tempus und Aspekt in romanischen Grammatiken für Nichtmuttersprachler in der Frühen Neuzeit","Fremdsprachenlehrwerke in der Frühen Neuzeit. Perspektiven – Potentiale – Herausforderungen","978-3-447-11723-4","","","","","2021","2026-06-09 18:51:44","2026-06-09T18:51:44Z","","141-158","","","","","","","Episteme in Bewegung","24","","","Harrassowitz","Wiesbaden","","","","","","DOI.org (Crossref)","","https://doi.org/10.13173/9783447117234","","","","","","Hübner, Julia; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWB46XRJ","bookSection","2021","Betsch, Michael","Musterdialoge als Quellen für die Geschichte von sprachlicher Höflichkeit und Anrede. Beispiele aus slavischen Sprachen","Fremdsprachenlehrwerke in der Frühen Neuzeit. Perspektiven – Potentiale – Herausforderungen","978-3-447-11723-4","","","","","2021","2026-06-09 18:48:36","2026-06-09T18:48:36Z","","177-193","","","","","","","Episteme in Bewegung","24","","","Harrassowitz","Wiesbaden","","","","","","DOI.org (Crossref)","","https://doi.org/10.13173/9783447117234","","","","","","Hübner, Julia; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WV54SPC","journalArticle","2021","Bopp, Dominika; Rosenberger, Sebastian","Sebald Heydens <i>Formulae Puerilium Colloquiorum</i>. Zur Verbreitung und räumlichen Varianz eines Gesprächsbuchs aus der Reformationszeit","Jahrbuch für Germanistische Sprachgeschichte","","1869-7046","10.11588/heidok.00032698","https://doi.org/10.1515/jbgsg-2021-0014","Sebald Heydens Gesprächsbuch Formulae Puerilium Colloquiorum, 1526 in Nürnberg entstanden, war ursprünglich für den Lateinunterricht in den unteren Klassen der Nürnberger Sebaldusschule konzipiert. Das Lehrbuch besteht aus 27 lateinischen Dialogen, denen als Lernhilfe deutsche Übersetzungen beigegeben sind. Die Dialoge sind denkbar einfach konstruiert, mit zwei Gesprächspartnern und kurzen Sätzen, und legen Wert auf die Vermittlung des lateinischen Alltagswortschatzes, wie er in den Lateinschulen ab einem bestimmten Alter obligatorisch war. Doch weniger als ein Jahr nach seiner Entstehung verbreitete sich das Gesprächsbuch weit über den Nürnberger Raum hinaus, Drucke sind für das Jahr 1527 in Erfurt, Krakau und Straßburg nachweisbar. Bis zum Ende des 16. Jahrhunderts war das Werk über einen Großteil Mittel- und Osteuropas verbreitet, neben Latein und Hochdeutsch finden sich sehr schnell drei-, vier- bis fünfsprachige Ausgaben mit weiteren Sprachen wie Niederdeutsch, Polnisch, Tschechisch, Ungarisch, Französisch oder Russisch. Für den außerordentlichen Erfolg des Lehrwerkes spricht auch, dass Drucke bis ins späte 18. Jahrhundert belegt sind. Der Beitrag wird sich mit den zahlreichen, durch die weite räumliche Verbreitung des Werkes bedingten Varianten im Bereich der Lexik in einigen ausgewählten Drucken beschäftigen. Die verschiedenen Varianten werden exemplarisch dokumentiert und die jeweilige Motivation für Bezeichnungswechsel nachgezeichnet. Dabei wird sich zeigen, dass offensichtlich nicht immer nur sprachgeographische Gründe für solche Bezeichnungswechsel ausschlaggebend waren.","2021","2026-06-09 18:42:13","2026-06-09T18:42:13Z","","251-268","","","12","","","","Jahrbuch für Germanistische Sprachgeschichte","","","","","","","","","","","","","","","","","Gesprächsbuch; Mehrsprachigkeit; historische Varietäten; Übersetzung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5SPTMJI","bookSection","2016","Gruber, Teresa","Phraseologie ante litteram. Phraseme und Konstruktionen in kontrastiven Spanisch-Italienisch-Lehrwerken der Frühen Neuzeit","Komplexität von Phraseologismen in den romanischen Sprachen: Theorie und Praxis in der Linguistik und der Fremdsprachendidaktik","978-3-86110-616-6","","","","","2016","2026-06-09 18:26:51","2026-06-09T18:26:51Z","","187-210","","","","","","","Romanistik & Angewandte Sprachwissenschaft","3","","","Röhrig","St. Ingbert","ger ita spa por","","","","","K10plus ISBN","","","","","","","","Discher, Christian; Meisnitzer, Benjamin; Schlaak, Claudia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7GY378S","book","2014","Kuhfuß, Walter","Eine Kulturgeschichte des Französischunterrichts in der frühen Neuzeit: Französischlernen am Fürstenhof, auf dem Marktplatz und in der Schule in Deutschland","","978-3-8471-0132-1","","","","","2014","2026-06-09 16:35:20","2026-06-09T16:35:20Z","","","","","","","","Eine Kulturgeschichte des Französischunterrichts in der frühen Neuzeit","","","","","V&R unipress","Göttingen","","","","","","Library of Congress ISBN","PC2068.G5 K84 2014","OCLC: ocn871295163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25IDYS5Y","journalArticle","2019","Corvo Sánchez, María José","Estudio de los diálogos españoles y alemanes de Juan Ángel de Zumaran: Diálogo tercero: en torno a la mesa mientras se come","Beiträge zur Geschichte der Sprachwissenschaft","","09392815","","https://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=137254736&site=ehost-live","Juan Ángel de Zumaran is a teacher and interpreter of languages from the 17th century. It is known that he lived in Salzburg, Munich, Ingolstadt and Vienna, where he worked and published four textbooks and two literary translations. In this paper, I would like to focus on the first ones and more specifically on the Spanish and German dialogues they contain. This study is meant to be a first approach to theses dialogues through the study of the third one, entitled ""En el qual se descriue vna comida, con muchos lindos discursos mientras se come/ Vonn Beschreibung der Mahlzeit/ mit vilen andern Reden vnd schónen Discursen vnder dem Essen"" (Zumaran 1634: 292-293). It will allow me to illustrate and assess the role played by these linguistic elements in the didactic work as a whole of this author. With this in mind, I will firstly introduce Zumaran's teaching programme and secondly contextualize his Spanish and German dialogues and specifically the third one in the context of his different textbooks. Thus, I will present an initial study of these dialogues and determine some questions that have to do with their total number and its location in the books. I will move then on to the analysis of the third one, in order to illustrate the teaching and translation work carried out by this nobleman from Cantabria. This article, that focuses on dialogues in the area of foreign language teaching, allows us to understand the functionality of the sections where these appear in Zumaran's language textbooks, which are highly interesting. It constitutes an important novelty in the scene of historiographical studies dealing with Spanish and German.","2019","2026-06-09 16:30:07","2026-06-09T16:30:07Z","2021-10-19 12:24:54","97-116","","1","29","","","Estudio de los diálogos españoles y alemanes de Juan Ángel de Zumaran","","","","","","","","","","","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NG52U543","journalArticle","2016","Amatuzzi, Antonella","Nathanaël Duez, auteur du ‚Guidon de la langue italienne‘ (1641) et du ‚Dittionario Francese Italiano (1659–1660)‘: un maître de langues entre continuité et innovation","Documents pour l’histoire du français langue étrangère ou seconde","","","","","","2016","2026-06-09 16:08:31","2026-06-09T16:08:31Z","","27–50","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWIXCIYE","journalArticle","2014","Van Der Helm, José","Instructions for learning Italian in two early modern Dutch travel guides: <i>Delitiae Italiae </i>(1602) and <i>Delitiae Urbis Romae </i>(1625)","Incontri","","2214-7705, 0169-3379","10.18352/incontri.9764","https://rivista-incontri.nl/article/view/URN%3ANBN%3ANL%3AUI%3A10-1-115749","","2014","2026-06-09 15:48:37","2026-06-09T15:48:37Z","2025-09-04 09:59:10","29-40","","1","29","","Incontri","Instructions for learning Italian in two early modern Dutch travel guides","","","","","","","","http://creativecommons.org/licenses/by/3.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
