"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MB6K7JZB","book","2014","Nissille, Christel","""Grammaire floue"" et enseignement du français en Angleterre au XVe siècle : les leçons du manuscrit Oxford Magdalen 188","","978-3-7720-8508-6","","","","","2014","2026-06-04 09:10:34","2026-06-04T09:10:34Z","","","","","","","","""Grammaire floue"" et enseignement du français en Angleterre au XVe siècle","Romanica Helvetica","133","","","Francke","Tübingen","","","","","","","Stabi 1 A 911530, Stabi 1 D 51496","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM2RBU55","bookSection","2006","Morcinek, Bettina","Das <i>Vocabulari molt profitos per aprendre Lo Catalan Alamany y Lo Alamany Catalan del any 1502</i> und seine italienische Vorlage","Ein Franke in Venedig: das Sprachlehrbuch des Georg von Nürnberg (1424) und seine Folgen","978-3-447-05403-4","","","","","2006","2026-06-04 09:06:17","2026-06-04T09:06:17Z","","65-76","","","","","","","Fremdsprachen in Geschichte und Gegenwart","3","","","Harrassowitz","Wiesbaden","","","","","","Library Catalog - gso.gbv.de","FU PhilBib GC 4706 G567","","","","","","","Glück, Helmut; Morcinek, Bettina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRDAH276","bookSection","2005","McLelland, Nicola","German as a second language for adults in the seventeenth century? Jacob Brücker’s <i>Deutsche Grammatic</i> (1620)","Flores Grammaticae. Essays in Memory of Vivien Law","","","","","","2005","2026-06-04 08:11:00","2026-06-04T08:11:00Z","","171–85","","","","","","","","","","","Nodus","Münster","","","","","","","","","","","","","","McLelland, Nicola; Linn, Andrew. R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HINYEXJV","bookSection","2006","Maier, Ingrid","<i>Eyn kurtze ynd gruntliche Vnderweisung... </i> Das älteste vollständig überlieferte polnisch-deutsche Gesprächsbüchlein","Ein Franke in Venedig: das Sprachlehrbuch des Georg von Nürnberg (1424) und seine Folgen","978-3-447-05403-4","","","","","2006","2026-06-03 15:48:16","2026-06-03T15:48:16Z","","87-105","","","","","","","Fremdsprachen in Geschichte und Gegenwart","3","","","Harrassowitz","Wiesbaden","","","","","","Library Catalog - gso.gbv.de","FU PhilBib GC 4706 G567","","","","","","","Glück, Helmut; Morcinek, Bettina Gabriele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IN9UGCMF","bookSection","2002","Langer, Nils","On the importance of foreign language grammars for a history of standard German","Standardization: Studies from the Germanic languages","978-90-272-4747-6 978-1-58811-366-5","","","","","2002","2026-06-03 15:47:16","2026-06-03T15:47:16Z","","","","","","","","","Amsterdam studies in the theory and history of linguistic science","235","","","Benjamins","Amsterdam, Philadelphia","","","","","","Library of Congress ISBN","PD74.7 .S73 2002","Meeting Name: Standard-Germanic Conference","","","","","Conference papers and proceedings; Congresses; Germanic languages; Standardization","Linn, Andrew Robert; McLelland, Nicola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCMFCYVZ","bookSection","2014","Keipert, Helmut","Der lateinische Text des Berlaimont-Gesprächsbuchs und dessen Übertragungen ins Deutsche, Tschechische und Polnische","Umbrüche innerhalb der Schriftlichkeit in profanen und sakralen Übersetzungstexten des Deutschen, Tschechischen und Polnischen vom 15. bis 17. Jahrhundert","978-3-487-15137-3","","","","","2014","2026-06-03 15:41:18","2026-06-03T15:41:18Z","","61-82","","","","","","","Westostpassagen","19","","","Olms","Hildesheim","ger","","","","","BnF ISBN","Stabi 1 A 915774, HU ZwB Frmdspr 2. OG KD 6240 S519","","","","","inBib","","Seyferth, Sebastian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7VRUSFC","bookSection","2014","Keipert, Helmut","Hypokoristika- und Honorifikativa-Bildungen in slavischen Übersetzungen des Berlaimont-Gesprächsbuchs (17. Jh.)","Slavische Wortbildung im Vergleich: theoretische und pragmatische Aspekte","978-3-643-12750-1","","","","","2014","2026-06-03 15:41:03","2026-06-03T15:41:03Z","","396-415","","","","","","","Slavica varia Halensia","12","","","Lit","Berlin","ger pol rus slo ukr","","","","","BnF ISBN","Stabi 1 A 939938, HU ZwB Frmdspr 2. OG KD 1820 M544","","","","","inBib","","Mengel, Swetlana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EQHS3GG","journalArticle","2012","Keipert, Helmut","Das „Vocabulare“ des Noël de Berlaimont und die Leipziger „Introductio ad linguam Czechicam“ von 1602 und 1611","Slavia","","","","","","2012","2026-06-03 15:40:15","2026-06-03T15:40:15Z","","37-166","","2","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IFNPYJK","bookSection","2002","Hüllen, Werner","Three properties of early European language teaching and learning","Heilige und profane Sprachen: die Anfänge des Fremdsprachenunterrichts im westlichen Europa","","","","","","2002","2026-06-03 15:33:35","2026-06-03T15:33:35Z","","211-220","","","","","","","Wolfenbütteler Forschungen","98","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Hüllen, Werner; Klippel, Friederike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAFFEQQI","journalArticle","2012","Hoock, Jochen","Les Berlaimonts. Manuels plurilingues à l’usage des marchands (XVIe–XVIIIe isècle)","Revue de Synthèse","","0035-1776, 1955-2343","10.1007/s11873-012-0187-2","http://link.springer.com/10.1007/s11873-012-0187-2","","2012-06","2026-06-03 15:23:50","2026-06-03T15:23:50Z","2018-04-17 18:12:24","273-288","","2","133","","","","","","","","","","fr","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
