"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CEVVC86K","bookSection","2000","De Clercq, Jan","‚Grammare françoise‘ (1557) de Gabriel Meurier","Grammaire et enseignement du français 1500–1700","","","","","","2000","2026-06-09 18:37:32","2026-06-09T18:37:32Z","","237–276","","","","","","","","","","","Peeters","Leuven, Paris","","","","","","","","","","","","","","De Clercq, Jan; Lioce, Nico; Swiggers, Pierre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHQWFKFS","book","2000","","Grammaire et enseignement du français, 1500–1700","","978-90-429-0958-8","","","","","2000","2026-06-09 18:37:20","2026-06-09T18:37:20Z","","","671","","","","","","Orbis Supplementa","16","","","Peeters","Leuven, Paris, Sterling","","","","","","Library of Congress ISBN","Handapparat C08","","","","","Handapparat C08","","De Clercq, Jan; Lioce, Nico; Swiggers, Pierre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFJPBHEU","book","1997","Gorini, Umberto","Storia dei manuali per l'apprendimento dell'italiano in Germania (1500-1950): un'analisi linguistica e socioculturale: una ricerca comparata sulla dimensione linguistica e socioculturale nei manuali per l'insegnamento/apprendimento dell'italiano in Germania dalla seconda metà del XVI alla prima metà del XX secolo con un breve profilo storico sugli inizi dell'insegnamento dell'italiano","","978-3-631-30952-0","","","","","1997","2026-06-09 18:27:02","2026-06-09T18:27:02Z","","","431","","","","","Storia dei manuali per l'apprendimento dell'italiano in Germania (1500-1950)","Europäische Hochschulschriften IX","29","","","Lang","Frankfurt am Main, New York","","","","","","Library of Congress ISBN","Stabi 1 A 297607, FU PhilBib (2) Ka 5/GOR/1.1","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBVF2F8M","book","1994","Kelz, Irene","Das Französische als Handels- und Geschäftssprache vom Ausgang des Mittelalters bis zum 19. Jahrhundert: eine Untersuchung an Lehrwerken für den berufsbezogenen Französischunterricht","","978-3-923549-52-8 978-3-923549-53-5","","","","","1994","2026-06-09 18:18:22","2026-06-09T18:18:22Z","","","151","","","","","Das Französische als Handels- und Geschäftssprache vom Ausgang des Mittelalters bis zum 19. Jahrhundert","Augsburger I & I-Schriften","69","","","Universität Augsburg","Augsburg","ger","","","","","Gemeinsamer Bibliotheksverbund ISBN","FU UB 18/95/4314(0), Stabi 1 A 218953","OCLC: 231628365","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZ8HHNF4","book","1987","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. Bd. 1: Buchstaben A bis C – Quellenverzeichnis","","978-3-923549-22-1 978-3-923549-57-3 978-3-923549-60-3","","","","","1987","2026-06-09 17:31:59","2026-06-09T17:31:59Z","","","","","","","","","Augsburger I & I-Schriften","40","","","Universität Augsburg","Augsburg","","","","","","Library of Congress ISBN","P59.3 .S37 1987","","","","","","Biography Dictionaries; Germany; Language teachers; Languages, Modern; Study and teaching Bibliography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K52RGVJS","book","1989","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. Bd. 2: Buchstaben D bis H. Erste Nachträge zum Quellenverzeichnis","","978-3-923549-33-7","","","","","1989","2026-06-09 17:27:38","2026-06-09T17:27:38Z","","","344","","","","","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. 2","Augsburger I & I-Schriften","51","","","Universität Augsburg","Augsburg","ger","","","","","Gemeinsamer Bibliotheksverbund ISBN","FU CampusBib ES 755 A1 S381-2, FU UB Lesesaal ES 755 A3 S381-2","OCLC: 257159165","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE7CAIA4","book","1991","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. Bd. 1: Buchstaben A bis C. Quellenverzeichnis","","978-3-923549-22-1 978-3-923549-57-3 978-3-923549-60-3","","","","","1991","2026-06-09 17:27:35","2026-06-09T17:27:35Z","","","7","","","","","","Augsburger I & I-Schriften","40","","","Universität Augsburg","Augsburg","","","","","","Library of Congress ISBN","FU CampusBib ES 755 A1 S381-1, FU UB Lesesaal ES 755 A3 S381-1","","","","","inBib","","","","","","","","","","","","","","","","","","","","","2., verb. und erw. Aufl.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZ6K88FT","book","1992","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes: Spätmittelalter bis 1800. Bd. 3: Buchstaben I bis Q","","978-3-923549-45-0","","","","","1992","2026-06-09 17:27:29","2026-06-09T17:27:29Z","","","347","","","","","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes","Augsburger I & I-Schriften","63","","","Universität Augsburg","Augsburg","ger","","","","","Gemeinsamer Bibliotheksverbund ISBN","FU CampusBib ES 755 A1 S381-3, FU UB Lesesaal ES 755 A3 S381-3","OCLC: 311413987","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPS6H73S","book","1995","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. Bd. 4: Buchstaben R bis Z. Zweite Nachträge zum Quellenverzeichnis","","978-3-923549-51-1","","","","","1995","2026-06-09 17:27:26","2026-06-09T17:27:26Z","","","469","","","","","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. 4","Augsburger I & I-Schriften","68","","","Universität Augsburg","Augsburg","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6K2APVF2","book","1996","Schröder, Konrad","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. Bd. 5 : Nachträge und Ergänzungen Buchstaben A bis K.","","","","","","","1996","2026-06-09 17:27:22","2026-06-09T17:27:22Z","","","","","","","","Biographisches und bibliographisches Lexikon der Fremdsprachenlehrer des deutschsprachigen Raumes, Spätmittelalter bis 1800. 5","Augsburger I & I-Schriften","73","","","Universität Augsburg","Augsburg","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
