name,credits,de,en
TeamfotoBerlin2024.jpg, (c) FSL digital,Das Foto zeigt das Projektteam in Berlin 2024.,The photo shows the project team in Berlin 2024.
TeamtreffenHamburg2025.jpg,(c) FSL digital,Das Foto zeigt das Projektteam in Hamburg 2025.,The photo shows the project team in Hamburg 2025.
Anonym1614Heidelberg.png,cc PDM 1.0 https://doi.org/10.11588/diglit.33210#0003, Colloqvia Et Dictionariolvm Sex Lingvarvm Heidelberg 1614,Colloqvia Et Dictionariolvm Sex Lingvarvm Heidelberg 1614
Mainz2025-11-10_Fav.jpg,(c) FSL digital,Das Foto zeigt das Projektteam in Mainz 2025.,The photo shows the project team in Mainz in 2025.
