start_date,end_date,type,title,desc,display_date,link
2025-10-01,2025-10-03,event,Jahreskonferenz der Matthias-Kramer-Gesellschaft: Institutionalisierter Sprachunterricht und Mehrsprachigkeit als politische Machtinstrumente im Übergang von der Frühen Neuzeit in die Moderne (Wien),"Vortrag: „Repräsentation sozialer Gruppen in historischen Fremdsprachenlehrwerken aus der Frühen Neuzeit“ mit Elena Bandt, Josephine Klingebeil-Schieke, Lisa Scharrer","01.–03. Oktober 2025, Wien",
2025-09-29,2025-09-30,event,Tagung: Migrationsonomastik: Personennamen im Kontext von Wanderungsbewegungen (Akademie der Wissenschaften und der Literatur Mainz),"Vortrag: „‚Geſpraͤch zwiſchen zweyen Freunden, der eine mitt Nahmen Mora, vnd der ander Aguilar…’ – ein Blick auf Personennamen in historischen Fremdsprachenlehrwerken“ mit Josephine Klingebeil-Schieke, Elena Bandt","29.–30. September 2025, Mainz",
2025-09-13,2025-09-14,event,Mainzer Wissenschaftsmarkt: Projektpräsentation des Akademienvorhabens „Historische Fremdsprachenlehrwerke digital“ ,"Projektvorstellung mit Josephine Klingebeil-Schieke, Miriam Hinterholzer, Lisa Scharrer, Elena Volkanovska und Falco  Risch  ","13.–14. September 2025, Mainz",https://www.wissenschaftsallianz-mainz.de/wissenschaftsmarkt/2025
2025-09-03,2025-09-05,event,Jahreskolloquium der Henry Sweet Society: Linguistics and Rhetoric: A Tale of Two Frenemies (Universität Reims Champagne-Ardenne),"Vortrag: „Teaching rhetoric by demonstration: A glimpse into persuasive strategies in Early Modern foreign language textbooks“ mit Elena Bandt, Horst Simon","03.–05. September 2025, Reims",https://hss-2025.sciencesconf.org/
2025-08-25,2025-08-25,event,Werkstattbericht im Sorbischen Institut Bautzen,Mit Josephine Klingebeil-Schieke,"25. August 2025, Bautzen",
2025-07-16,2025-07-16,event,Tagung: Mehrsprachigkeit. Kommunikationsformen in der Stadt und am Hof (ca. 1200–1600) (Universität Greifswald),"Vortrag: „Stimmen aus der Frühen Neuzeit: Fremdsprachenlehrwerke als Spiegel europäischer Mehrsprachigkeit“ mit Elena Bandt, Josephine Klingebeil-Schieke","16. Juli 2025, Greifswald",
2025-05-22,2025-05-23,event,"Historical Sociolinguistics Network Conference: HiSoN 20 years on: past, present, future (University of Bristol)","Vorträge: „Learning foreign languages from below: witnesses of the early modern period“ mit Liv Büchler, Josephine Klingebeil-Schieke; „Comparative Historical Sociolinguistics. Why – what – how?“ mit Horst Simon","22.–23. Mai 2025, Bristol",
2025-05-16,2025-05-16,event,Tagung: Gattungsspezifik des Pronomengebrauchs (Universität Hamburg),"Vortrag: „‚Nun folgen die Pronomina‘: Pronomen in Fremdsprachenlehrwerken zwischen Vermittlung, Gebrauchsorientierung und Mehrsprachigkeit“ mit Liv Büchler, Natalia Filatkina, Kerstin Roth","16. Mai 2025, Hamburg",
2025-03-03,2025-03-03,event,"Hamburg-Leeds Lecture Series: Affect, Archive & Artificial Intelligence (Universität Hamburg/Univeristy of Leeds)","Vortrag: „Language history, language attitudes and everyday communication in the context of multilingualism in Early Modern Europe: Insights into the FSL-project“ mit Luise Borek, Natalia Filatkina, Kerstin Roth, Lisa Scharrer","03. März 2025, Hamburg",https://www.gw.uni-hamburg.de/ueber-die-fakultaet/digital-humanities/dh-lab/hamburg-leeds-lecture-series.html
2025-01-18,2025-01-18,event,Salon Sophie Charlotte „Metamorphosen“ (Berlin-Brandenburgische Akademie der Wissenschaften),"Hands-on-Workshop und Performance: „Auf und Ab durch die Sprachen der Frühen Neuzeit“ mit Elena Bandt, Liv Büchler, Josephine Klingebeil-Schieke, Horst Simon","18. Januar 2025, Berlin",https://salon.bbaw.de/programm
2024-11-20,2024-11-20,event,Auftaktveranstaltung des Akademienvorhabens „FSL digital“: „Fränkisch für Venezianer. Das Sprachlehrbuch des Georg von Nürnberg aus dem Jahr 1424 im Kontext der europäischen Mehrsprachigkeit“ (Berlin-Brandenburgische Akademie der Wissenschaften),"Vorträge mit Cecilie Hollberg, Horst Simon; zweisprachige szenische Lesung mit Liv Büchler, Josephine Klingebeil-Schieke, Kerstin Roth","20. November 2024, Berlin",https://www.bbaw.de/veranstaltungen/veranstaltung-fraenkisch-fuer-venezianer
2024-11-07,2024-11-07,event,Ringvorlesung zum Thema „Verbosität“ (Universität Hamburg),"Vortrag: „Verbosität in historischen Fremdsprachenlehrwerken“ mit Natalia Filatkina, Julia Hübner, Kerstin Roth","07. November 2024, Hamburg",
2024-09-12,2024-09-12,event,Jahrestagung der Gesellschaft für Angewandte Linguistik (Technische Universität Dresden),"Vortrag: „Historische Fremdsprachenlehrwerke als Speicher kulturellen Wissens“ mit Liv Büchler, Julia Hübner, Kerstin Roth","12. September 2024, Dresden",
2024-06-22,2024-06-22,event,Lange Nacht der Wissenschaften (Freie Universität Berlin),"Mitmachtheater und Informationsstand: „Dialogisches Fremdsprachenlernen im 17. Jahrhundert. Ein mehrsprachiges Mitmachtheater“ mit Liv Büchler, Josephine Klingebeil-Schieke, Carlotta Schilke, Peer Scholl","22. Juni 2024, Berlin",https://www.fu-berlin.de/sites/dhc/programme/termine/_Termin-Archiv/LNDW/2024-06-22_LNWD_2024.html
2024-04-25,2024-04-27,event,"Tagung: Historische Mehrsprachigkeit und Sprachkontakt mit Varietäten des Deutschen: Überlieferung, Forschungsstand und Perspektiven (Heidelberger Akademie der Wissenschaften)","Koordination: Andreas Krogull, Stefaniya Ptashnyk, Kerstin Roth; Vortrag: „Frühneuzeitliche Fremdsprachenlehrwerke. Neue Perspektiven auf gesellschaftliche Mehrsprachigkeit im Europa des 15. bis 17. Jahrhunderts“ mit Natalia Filatkina, Julia Hübner, Andrea Rapp, Horst Simon","25.–27. April 2024, Heidelberg",
2024-02-28,2024-03-01,event,46. Jahrestagung der Deutschen Gesellschaft für Sprachwissenschaft (DGfS): Sprache und Einstellung (Ruhr-Universität Bochum),Vortrag: „Stance taking durch „man“-Referenzen in Musterdialogen frühneuzeitlicher Fremdsprachenlehrwerke“ mit Liv Büchler,"01. März 2024, Bochum",https://www.dgfs2024.ruhr-uni-bochum.de/dgfs/index.html.de
2024-02-08,2024-02-10,event,Workshop: Fremdsprachenlehrwerke im 17. Jahrhundert. Übungen im Linguistic Close Reading (Freie Universität Berlin),"Organisation: Liv Büchler, Horst Simon; Vortrag: „Pronomengebrauch in Musterdialogen des 17. Jahrhunderts“ mit Liv Büchler","08.–10. Februar 2024, Berlin",https://www.sfb-episteme.de/veranstaltungen/Vorschau/2024/C08_workshop_fremdsprachenlehrwerke.html
